Health,,
,,
,Coeff,p-values
const,-104.484398,5.30E-03
L1.USDMXN,3.848191,4.60E-01
L1.GDP_WorldBank,0.960919,1.13E-01
L1.Mayan,0.019011,5.43E-01
L1.Unemployment_rate,8.835585,5.93E-01
L1.CETES_AverageYield,-0.465781,7.04E-01
L1.Nikkei 225,-0.001129,7.10E-01
L1.S&PTSX,-0.000509,9.32E-01
L1.SSE,0.016444,7.69E-02
L1.Health,0.444818,3.08E-12
L2.USDMXN,-2.812296,7.10E-01
L2.GDP_WorldBank,-0.786563,4.89E-01
L2.Mayan,0.046812,2.98E-01
L2.Unemployment_rate,-4.985273,8.58E-01
L2.CETES_AverageYield,0.724332,6.61E-01
L2.Nikkei 225,-0.002172,6.34E-01
L2.S&PTSX,0.015241,8.74E-02
L2.SSE,-0.012425,3.93E-01
L2.Health,0.267349,8.75E-05
L3.USDMXN,0.561045,9.11E-01
L3.GDP_WorldBank,-0.106976,8.57E-01
L3.Mayan,-0.05441,9.41E-02
L3.Unemployment_rate,9.270282,5.71E-01
L3.CETES_AverageYield,-0.106601,9.30E-01
L3.Nikkei 225,0.004128,1.83E-01
L3.S&PTSX,-0.016576,5.73E-03
L3.SSE,0.000149,9.87E-01
L3.Health,0.135421,3.10E-02
