MEXBOL,,
,,
,Coeff,p-values
const,-393.632417,7.34E-01
L1.USDMXN,-444.652969,3.23E-01
L1.International,0.003136,2.56E-01
L1.Mayan,-2.411575,6.93E-02
L1.Unemployment_rate,-8.009347,9.91E-01
L1.CETES_AverageYield,-13.888093,7.96E-01
L1.DAX,-0.16919,6.38E-01
L1.Nikkei,-0.280732,7.87E-02
L1.S&P500,-0.529206,8.36E-01
L1.SSE,0.425759,3.00E-01
L1.MEXBOL,1.218849,8.28E-42
L2.USDMXN,284.802223,6.68E-01
L2.International,0.000556,8.90E-01
L2.Mayan,4.978223,1.04E-02
L2.Unemployment_rate,498.258051,6.81E-01
L2.CETES_AverageYield,-25.198016,7.32E-01
L2.DAX,0.67502,2.23E-01
L2.Nikkei,0.11172,6.30E-01
L2.S&P500,-1.027138,7.85E-01
L2.SSE,-0.02536,9.68E-01
L2.MEXBOL,-0.307321,1.92E-02
L3.USDMXN,295.047697,5.17E-01
L3.International,-0.003454,1.98E-01
L3.Mayan,-2.795912,3.47E-02
L3.Unemployment_rate,-414.517122,5.67E-01
L3.CETES_AverageYield,36.814691,4.95E-01
L3.DAX,-0.531793,1.53E-01
L3.Nikkei,0.2141,1.72E-01
L3.S&P500,0.471533,8.57E-01
L3.SSE,-0.555258,1.71E-01
L3.MEXBOL,0.081992,3.60E-01
