Telecommunications,,
,,
,Coeff,p-values
const,-24.5583,2.99E-01
L1.USDMXN,-12.812926,1.60E-01
L1.International,4.3E-05,4.49E-01
L1.Mayan,-0.009628,7.24E-01
L1.Unemployment_rate,5.431671,7.16E-01
L1.CETES_AverageYield,0.452066,6.93E-01
L1.Nikkei,-0.003303,1.93E-01
L1.SSE,0.011537,1.82E-01
L1.Telecommunications,1.07116,4.12E-47
L2.USDMXN,27.660411,4.49E-02
L2.International,-6.6E-05,4.40E-01
L2.Mayan,0.023789,5.54E-01
L2.Unemployment_rate,-3.27813,8.98E-01
L2.CETES_AverageYield,-2.015445,1.97E-01
L2.Nikkei,0.002695,4.64E-01
L2.SSE,-0.009324,4.83E-01
L2.Telecommunications,-0.052043,6.22E-01
L3.USDMXN,-12.881268,1.59E-01
L3.International,1.9E-05,7.42E-01
L3.Mayan,-0.020763,4.38E-01
L3.Unemployment_rate,2.986066,8.44E-01
L3.CETES_AverageYield,1.306997,2.51E-01
L3.Nikkei,0.001129,6.61E-01
L3.SSE,-0.006462,4.51E-01
L3.Telecommunications,-0.023978,7.53E-01
